text,category,location_label,location_mention,source,severity,sentiment
Water is not draining in Abhilasha Char Rasta.,flooding,Sama,Abhilasha Char Rasta,Official App,High,Negative
Urgent: Stray cattle blocking traffic at Fatehgunj.,other,Fatehgunj,Fatehgunj,WhatsApp,High,Negative
Help needed: Need a traffic policeman at Tandalja Road junction.,traffic,Vasna Road,Tandalja Road,Social Media,Medium,Negative
Vishwamitri river water entering Cow Circle low lying areas.,flooding,Akota,Cow Circle,Official App,High,Negative
Complaint: Kachra pada hai Bright School road pe. Please resolve asap.,garbage,Karelibaug,Bright School,WhatsApp,Medium,Negative
Report: Heavy rain caused flooding near Nyay Mandir. Authorities please take note.,flooding,Nyay Mandir,Nyay Mandir,Social Media,High,Negative
Garden maintenance needed in Kala Ghoda.,other,Kala Ghoda,Kala Ghoda,Official App,Low,Negative
Report: Drinking water smells bad in Akota. Very dangerous situation.,water,Akota,Akota,Social Media,High,Negative
Alert: MS University Hostel bridge is blocked due to heavy traffic. It's been a week.,traffic,Fatehgunj,MS University Hostel,Social Media,Medium,Negative
Bike slipped due to oil spill near Makarpura. #Vadodara #VMC,accident,Makarpura,Makarpura,Social Media,High,Negative
Please check: Heavy rain caused flooding near Bahucharaji Road.,flooding,Karelibaug,Bahucharaji Road,WhatsApp,High,Negative
Kachra pada hai Eva Mall road pe.,garbage,Manjalpur,Eva Mall,Official App,Medium,Negative
"Car collision at Ajwa Road, ambulance needed.",accident,Ajwa Road,Ajwa Road,News Headline,High,Negative
Barish ka paani Mandvi Gate me bhar gaya hai.,flooding,Mandvi,Mandvi Gate,Official App,High,Negative
Garbage not collected in Nandesari GIDC for 3 days.,garbage,Nandesari,Nandesari GIDC,News Headline,Medium,Negative
Pedestrian hit by a speeding car in Parshuram Bhattha.,accident,Sayajigunj,Parshuram Bhattha,Official App,High,Negative
Low pressure water in Rajmahal Road. #Vadodara #VMC,water,Nyay Mandir,Rajmahal Road,Social Media,Medium,Negative
Please check: Heavy traffic congestion in Nandesari GIDC during peak hours. VMC please help.,traffic,Nandesari,Nandesari GIDC,Social Media,Medium,Negative
Help needed: Sweepers not coming to Rajmahal Road regularly. #Vadodara #VMC,garbage,Nyay Mandir,Rajmahal Road,WhatsApp,Low,Negative
Help needed: Strong winds blowing in Sama Pond. It's been a week.,weather,Sama,Sama Pond,WhatsApp,Low,Neutral
Frequent power cuts in Fatehgunj Circle since yesterday.,electricity,Fatehgunj,Fatehgunj Circle,WhatsApp,Medium,Negative
Alert: Wrong side driving is rampant in Karelibaug. Authorities please take note.,traffic,Karelibaug,Karelibaug,Social Media,Medium,Negative
Vishwamitri river water entering Champaner Gate low lying areas. It's been a week.,flooding,Mandvi,Champaner Gate,WhatsApp,High,Negative
Bohat garmi hai Alkapuri me aaj. It's been a week.,weather,Alkapuri,Alkapuri,Social Media,Low,Neutral
Action required: Cars parked illegally on MS University Hostel road causing jam. It's been a week.,traffic,Fatehgunj,MS University Hostel,WhatsApp,Medium,Negative
Tree fallen on road in GMERS.,other,Gotri,GMERS,Official App,Medium,Negative
Alert: Accident ho gaya hai Makarpura GIDC me. Authorities please take note.,accident,Makarpura,Makarpura GIDC,WhatsApp,High,Negative
Accident prone zone near Akota Bridge school needs speed breaker. Very dangerous situation.,accident,Akota,Akota Bridge,WhatsApp,High,Negative
Huge traffic jam at Kadak Bazar.,traffic,Sayajigunj,Kadak Bazar,Official App,Medium,Negative
Please check: Cars parked illegally on Manjalpur road causing jam. #Vadodara #VMC,traffic,Manjalpur,Manjalpur,WhatsApp,Medium,Negative
Heavy rain caused flooding near Sursagar Lake.,flooding,Nyay Mandir,Sursagar Lake,Official App,High,Negative
Complaint: Bike slipped due to oil spill near Vasna Bhayli Road. Please resolve asap.,accident,Vasna Road,Vasna Bhayli Road,Social Media,High,Negative
"Action required: Knee deep water in Parshuram Bhattha, please help. Calling municipal corporation.",flooding,Sayajigunj,Parshuram Bhattha,WhatsApp,High,Negative
Electric pole looking dangerous in Manjalpur Naka.,electricity,Manjalpur,Manjalpur Naka,Official App,High,Negative
Action required: Heavy traffic congestion in Makarpura during peak hours. VMC please help.,traffic,Makarpura,Makarpura,WhatsApp,Medium,Negative
Complaint: Illegal encroachment on footpath in Alkapuri Club. Please resolve asap.,other,Alkapuri,Alkapuri Club,WhatsApp,Medium,Negative
Please check: Very unhygienic conditions in Vasna Road vegetable market. It's been a week.,garbage,Vasna Road,Vasna Road,Social Media,Medium,Negative
Please check: Drainage overflow causing water to unexpected levels in Dandia Bazar. Calling municipal corporation.,flooding,Raopura,Dandia Bazar,Social Media,High,Negative
Help needed: Thunderstorm expected in Tandalja Road. Calling municipal corporation.,weather,Vasna Road,Tandalja Road,Social Media,Low,Neutral
Urgent: Drinking water smells bad in Sarabhai Compound. Please resolve asap.,water,Kala Ghoda,Sarabhai Compound,WhatsApp,High,Negative
Need a traffic policeman at Mandvi junction.,traffic,Mandvi,Mandvi,Official App,Medium,Negative
Please check: Heavy rain predicted for Dandia Bazar this evening. It's been a week.,weather,Raopura,Dandia Bazar,WhatsApp,Low,Neutral
Drinking water smells bad in Jubilee Baug.,water,Raopura,Jubilee Baug,Official App,Medium,Negative
Low pressure water in Manjalpur. Calling municipal corporation.,water,Manjalpur,Manjalpur,Social Media,Medium,Negative
Complaint: Heavy rain predicted for Khanderao Market this evening. Very dangerous situation.,weather,Nyay Mandir,Khanderao Market,Social Media,Low,Neutral
Alert: Accident prone zone near RC Dutt Road school needs speed breaker. It is very annoying.,accident,Alkapuri,RC Dutt Road,WhatsApp,High,Negative
Complaint: Barish ka paani Sama Pond me bhar gaya hai. It's been a week.,flooding,Sama,Sama Pond,Social Media,High,Negative
"Complaint: Knee deep water in Raopura Tower, please help. #Vadodara #VMC",flooding,Raopura,Raopura Tower,Social Media,High,Negative
Urgent: Voltage fluctuation damaged appliances in Eva Mall. Calling municipal corporation.,electricity,Manjalpur,Eva Mall,Social Media,High,Negative
Urgent: Need a traffic policeman at Central Library junction.,traffic,Mandvi,Central Library,Social Media,High,Negative
Dead animal near Sayajipura needs removal.,garbage,Ajwa Road,Sayajipura,Official App,High,Negative
Water logging issue at Jubilee Baug.,flooding,Raopura,Jubilee Baug,WhatsApp,High,Negative
Urgent: Heavy rain predicted for Sama Pond this evening. VMC please help.,weather,Sama,Sama Pond,WhatsApp,Low,Neutral
Complaint: Water is not draining in Alkapuri Club. Authorities please take note.,flooding,Alkapuri,Alkapuri Club,Social Media,High,Negative
Report: Too many stray dogs in Raopura Tower attacking people. Calling municipal corporation.,other,Raopura,Raopura Tower,Social Media,Medium,Negative
Report: Low pressure water in D-Mart Waghodia. #Vadodara #VMC,water,Waghodia Road,D-Mart Waghodia,WhatsApp,Medium,Negative
Alert: Cars parked illegally on Karelibaug road causing jam. VMC please help.,traffic,Karelibaug,Karelibaug,Social Media,Medium,Negative
"Urgent: Car collision at Manjalpur, ambulance needed. Calling municipal corporation.",accident,Manjalpur,Manjalpur,Social Media,High,Negative
Accident prone zone near Harni Airport school needs speed breaker.,accident,Harni,Harni Airport,Official App,High,Negative
Urgent: Street lights not working in Mandvi. Calling municipal corporation.,electricity,Mandvi,Mandvi,Social Media,High,Negative
Thunderstorm expected in Kala Ghoda.,weather,Kala Ghoda,Kala Ghoda,News Headline,Low,Neutral
"Alert: Car collision at MS University Hostel, ambulance needed. Very dangerous situation.",accident,Fatehgunj,MS University Hostel,WhatsApp,High,Negative
Report: Street lights not working in Sarabhai Compound. It is very annoying.,electricity,Kala Ghoda,Sarabhai Compound,Social Media,Medium,Negative
No electricity in Champaner Gate for 4 hours.,electricity,Mandvi,Champaner Gate,Official App,Medium,Negative
Vishwamitri river water entering Harni Airport low lying areas. Authorities please take note.,flooding,Harni,Harni Airport,WhatsApp,High,Negative
Pedestrian hit by a speeding car in Nandesari.,accident,Nandesari,Nandesari,Official App,High,Negative
Tree fallen on road in Susen Tarsali Ring Road.,other,Makarpura,Susen Tarsali Ring Road,News Headline,Medium,Negative
Voltage fluctuation damaged appliances in Madhuban Circle.,electricity,Gorwa,Madhuban Circle,Official App,Medium,Negative
Help needed: Pile of trash blocking the footpath in ONGC Main Gate.,garbage,Tarsali,ONGC Main Gate,WhatsApp,Medium,Negative
Report: Sweepers not coming to Leprosy Ground regularly. It is very annoying.,garbage,Ajwa Road,Leprosy Ground,WhatsApp,Low,Negative
Please check: Yellow water coming from tap in Chemical Zone. It's been a week.,water,Nandesari,Chemical Zone,Social Media,Medium,Negative
Report: Drainage overflow causing water to unexpected levels in Akota Stadium. It is very annoying.,flooding,Akota,Akota Stadium,WhatsApp,High,Negative
Alert: Drainage overflow causing water to unexpected levels in Tandalja Road. It's been a week.,flooding,Vasna Road,Tandalja Road,Social Media,High,Negative
Help needed: Electric pole looking dangerous in Dandia Bazar. It's been a week.,electricity,Raopura,Dandia Bazar,Social Media,High,Negative
Action required: Dustbins are overflowing at Bright School Vasna. #Vadodara #VMC,garbage,Vasna Road,Bright School Vasna,WhatsApp,High,Negative
Complaint: Wrong side driving is rampant in Vasna Road. Calling municipal corporation.,traffic,Vasna Road,Vasna Road,Social Media,Medium,Negative
Alert: Terrible accident on D-Mart Waghodia main road. #Vadodara #VMC,accident,Waghodia Road,D-Mart Waghodia,WhatsApp,High,Negative
"Please check: Heatwave alert for Harni Warasia Ring Road, stay indoors. Calling municipal corporation.",weather,Harni,Harni Warasia Ring Road,Social Media,Medium,Negative
Cows sitting in the middle of Ajwa Road road. #Vadodara #VMC,other,Ajwa Road,Ajwa Road,Social Media,Medium,Negative
Alert: Blinkering street lights at Kala Ghoda crossroad. Authorities please take note.,electricity,Kala Ghoda,Kala Ghoda,Social Media,Medium,Negative
"Andhera hai Eva Mall me, lights fix karo.",electricity,Manjalpur,Eva Mall,Official App,Medium,Negative
Action required: Traffic signal not working at Gorwa BIDC crossroads. #Vadodara #VMC,traffic,Gorwa,Gorwa BIDC,Social Media,Medium,Negative
Foul smell coming from garbage dump in Novino Battery.,garbage,Makarpura,Novino Battery,Official App,Medium,Negative
Unseasonal rain in Raopura.,weather,Raopura,Raopura,Official App,Low,Neutral
Complaint: Water logging issue at Sayajipura. Please resolve asap.,flooding,Ajwa Road,Sayajipura,WhatsApp,High,Negative
Action required: Ganda paani aa raha hai Gotri Hospital me. VMC please help.,water,Gotri,Gotri Hospital,WhatsApp,Medium,Negative
Urgent: Low pressure water in Raopura Tower. It's been a week.,water,Raopura,Raopura Tower,Social Media,High,Negative
Urgent: Accident ho gaya hai Central Library me. #Vadodara #VMC,accident,Mandvi,Central Library,Social Media,High,Negative
Help needed: Need a traffic policeman at Vasna Bhayli Road junction.,traffic,Vasna Road,Vasna Bhayli Road,Social Media,Medium,Negative
No water supply in Mental Hospital since morning.,water,Karelibaug,Mental Hospital,Official App,High,Negative
Vishwamitri river water entering Kadak Bazar low lying areas. Calling municipal corporation.,flooding,Sayajigunj,Kadak Bazar,Social Media,High,Negative
Report: Contaminated water supply in Gotri Hospital. Authorities please take note.,water,Gotri,Gotri Hospital,Social Media,High,Negative
Please check: Accident prone zone near Vasna Road school needs speed breaker. #Vadodara #VMC,accident,Vasna Road,Vasna Road,WhatsApp,High,Negative
Urgent: Water pipeline leakage near D-Mart Waghodia. Calling municipal corporation.,water,Waghodia Road,D-Mart Waghodia,Social Media,High,Negative
Help needed: Bus hit a divider in Cow Circle. It is very annoying.,accident,Akota,Cow Circle,WhatsApp,High,Negative
Action required: Heavy rain predicted for Manjalpur Naka this evening. VMC please help.,weather,Manjalpur,Manjalpur Naka,WhatsApp,Low,Neutral
Complaint: Dustbins are overflowing at Rajmahal Road. It's been a week.,garbage,Nyay Mandir,Rajmahal Road,Social Media,High,Negative
Report: No water supply in Tandalja Road since morning.,water,Vasna Road,Tandalja Road,Social Media,High,Negative
Help needed: Water pipeline leakage near Ajwa Chokdi. Very dangerous situation.,water,Ajwa Road,Ajwa Chokdi,WhatsApp,High,Negative
Voltage fluctuation damaged appliances in Eva Mall.,electricity,Manjalpur,Eva Mall,Official App,Medium,Negative
Bus hit a divider in Vrindavan Char Rasta.,accident,Waghodia Road,Vrindavan Char Rasta,News Headline,High,Negative
No water supply in Makarpura GIDC since morning.,water,Makarpura,Makarpura GIDC,News Headline,High,Negative
Unknown person loitering suspiciously in Manjalpur. Please resolve asap.,other,Manjalpur,Manjalpur,Social Media,Low,Negative
Bike slipped due to oil spill near Champaner Gate.,accident,Mandvi,Champaner Gate,Official App,High,Negative
Complaint: Vishwamitri river water entering Nandesari GIDC low lying areas. #Vadodara #VMC,flooding,Nandesari,Nandesari GIDC,Social Media,High,Negative
Traffic signal not working at Raopura Tower crossroads.,traffic,Raopura,Raopura Tower,News Headline,Medium,Negative
Action required: Vishwamitri river water entering Alkapuri Club low lying areas. Authorities please take note.,flooding,Alkapuri,Alkapuri Club,Social Media,High,Negative
Foul smell coming from garbage dump in Chemical Zone.,garbage,Nandesari,Chemical Zone,Official App,Medium,Negative
Water pipeline leakage near Makarpura GIDC.,water,Makarpura,Makarpura GIDC,News Headline,Medium,Negative
Please check: Contaminated water supply in Sardar Estate.,water,Ajwa Road,Sardar Estate,WhatsApp,High,Negative
Accident ho gaya hai Tandalja Road me.,accident,Vasna Road,Tandalja Road,News Headline,High,Negative
Pedestrian hit by a speeding car in Muktanand Three Roads.,accident,Karelibaug,Muktanand Three Roads,Official App,High,Negative
Help needed: Huge traffic jam at Vasna Road. It's been a week.,traffic,Vasna Road,Vasna Road,WhatsApp,Medium,Negative
"Knee deep water in Railway Station, please help. It is very annoying.",flooding,Sayajigunj,Railway Station,Social Media,High,Negative
Thunderstorm expected in Windsor Plaza.,weather,Alkapuri,Windsor Plaza,Official App,Low,Neutral
Report: Cars parked illegally on Susen Circle road causing jam. Very dangerous situation.,traffic,Tarsali,Susen Circle,Social Media,High,Negative
Help needed: Wrong side driving is rampant in Leprosy Ground. Please resolve asap.,traffic,Ajwa Road,Leprosy Ground,Social Media,Medium,Negative
Report: Heavy traffic congestion in Rajmahal Road during peak hours. VMC please help.,traffic,Nyay Mandir,Rajmahal Road,WhatsApp,Medium,Negative
"Urgent: Heatwave alert for Novino Battery, stay indoors. Calling municipal corporation.",weather,Makarpura,Novino Battery,WhatsApp,High,Negative
Yellow water coming from tap in MS University Hostel.,water,Fatehgunj,MS University Hostel,Official App,Medium,Negative
Alert: No electricity in Kadak Bazar for 4 hours. It is very annoying.,electricity,Sayajigunj,Kadak Bazar,Social Media,Medium,Negative
Urgent: Barish ka paani Narhari Hospital me bhar gaya hai. VMC please help.,flooding,Fatehgunj,Narhari Hospital,WhatsApp,High,Negative
Complaint: Water is not draining in Madhuban Circle. It's been a week.,flooding,Gorwa,Madhuban Circle,Social Media,High,Negative
Accident prone zone near Makarpura school needs speed breaker.,accident,Makarpura,Makarpura,Official App,High,Negative
Help needed: Blinkering street lights at Khanderao Market crossroad. Very dangerous situation.,electricity,Nyay Mandir,Khanderao Market,Social Media,High,Negative
"Action required: Heatwave alert for Makarpura, stay indoors. #Vadodara #VMC",weather,Makarpura,Makarpura,Social Media,Medium,Negative
Action required: Terrible accident on Khanderao Market main road. Authorities please take note.,accident,Nyay Mandir,Khanderao Market,WhatsApp,High,Negative
Report: Need a traffic policeman at Gorwa junction. Authorities please take note.,traffic,Gorwa,Gorwa,Social Media,Medium,Negative
Drainage overflow causing water to unexpected levels in Gorwa BIDC. Very dangerous situation.,flooding,Gorwa,Gorwa BIDC,Social Media,High,Negative
Action required: Drinking water smells bad in Sama Pond. Very dangerous situation.,water,Sama,Sama Pond,Social Media,High,Negative
Low pressure water in Vasna Bhayli Road.,water,Vasna Road,Vasna Bhayli Road,News Headline,Medium,Negative
Alert: Ganda paani aa raha hai Manjalpur Naka me. Calling municipal corporation.,water,Manjalpur,Manjalpur Naka,WhatsApp,Medium,Negative
Barish ka paani Sayajigunj me bhar gaya hai.,flooding,Sayajigunj,Sayajigunj,Official App,High,Negative
Cleaning not done in Gotri society. Very dangerous situation.,garbage,Gotri,Gotri,Social Media,High,Negative
Report: Dustbins are overflowing at Makarpura. It is very annoying.,garbage,Makarpura,Makarpura,Social Media,High,Negative
Alert: Barish ka paani Gorwa BIDC me bhar gaya hai. Calling municipal corporation.,flooding,Gorwa,Gorwa BIDC,Social Media,High,Negative
"Complaint: Knee deep water in Manjalpur, please help.",flooding,Manjalpur,Manjalpur,WhatsApp,High,Negative
Report: Water is not draining in Madhuban Circle. VMC please help.,flooding,Gorwa,Madhuban Circle,Social Media,High,Negative
Pile of trash blocking the footpath in Industrial Area.,garbage,Nandesari,Industrial Area,Official App,Medium,Negative
Urgent: Street lights not working in Ajwa Road. It is very annoying.,electricity,Ajwa Road,Ajwa Road,WhatsApp,High,Negative
Report: Barish ka paani Manjalpur me bhar gaya hai. Calling municipal corporation.,flooding,Manjalpur,Manjalpur,Social Media,High,Negative
Complaint: Bike slipped due to oil spill near Sayajigunj. It is very annoying.,accident,Sayajigunj,Sayajigunj,Social Media,High,Negative
Action required: Terrible accident on Harni main road.,accident,Harni,Harni,Social Media,High,Negative
Very unhygienic conditions in Akota Stadium vegetable market.,garbage,Akota,Akota Stadium,News Headline,Medium,Negative
Report: No water supply in Jubilee Baug since morning. Please resolve asap.,water,Raopura,Jubilee Baug,WhatsApp,High,Negative
Water pipeline leakage near Champaner Gate.,water,Mandvi,Champaner Gate,News Headline,Medium,Negative
Report: Ganda paani aa raha hai Dandia Bazar me. It is very annoying.,water,Raopura,Dandia Bazar,WhatsApp,Medium,Negative
Action required: Tree fallen on road in Alkapuri. It is very annoying.,other,Alkapuri,Alkapuri,WhatsApp,Medium,Negative
Alert: Cars parked illegally on Eva Mall road causing jam. It's been a week.,traffic,Manjalpur,Eva Mall,WhatsApp,Medium,Negative
Alert: Stray cattle blocking traffic at Novino Battery. It's been a week.,other,Makarpura,Novino Battery,Social Media,Medium,Negative
Report: Terrible accident on Samta main road. Very dangerous situation.,accident,Subhanpura,Samta,WhatsApp,High,Negative
Urgent: Tree fallen on road in Eva Mall. #Vadodara #VMC,other,Manjalpur,Eva Mall,WhatsApp,High,Negative
Pedestrian hit by a speeding car in Tarsali Bypass.,accident,Tarsali,Tarsali Bypass,Official App,High,Negative
Alert: No electricity in Industrial Area for 4 hours. Please resolve asap.,electricity,Nandesari,Industrial Area,WhatsApp,Medium,Negative
Blinkering street lights at ONGC Main Gate crossroad.,electricity,Tarsali,ONGC Main Gate,Official App,Medium,Negative
Report: Kachra pada hai Mujmahuda road pe. It's been a week.,garbage,Akota,Mujmahuda,Social Media,Medium,Negative
Strong winds blowing in Uma Char Rasta.,weather,Waghodia Road,Uma Char Rasta,Official App,Low,Neutral
Urgent: Frequent power cuts in Gotri Hospital since yesterday. VMC please help.,electricity,Gotri,Gotri Hospital,WhatsApp,High,Negative
Accident ho gaya hai Sarabhai Compound me. It's been a week.,accident,Kala Ghoda,Sarabhai Compound,Social Media,High,Negative
Help needed: Stray cattle blocking traffic at Akota Bridge. Calling municipal corporation.,other,Akota,Akota Bridge,Social Media,Medium,Negative
Action required: Wrong side driving is rampant in Rajmahal Road. VMC please help.,traffic,Nyay Mandir,Rajmahal Road,WhatsApp,Medium,Negative
Complaint: Yellow water coming from tap in Kala Ghoda Circle.,water,Kala Ghoda,Kala Ghoda Circle,WhatsApp,Medium,Negative
Low pressure water in Kala Ghoda Circle.,water,Kala Ghoda,Kala Ghoda Circle,News Headline,Medium,Negative
Complaint: No electricity in Air Force Station for 4 hours. Please resolve asap.,electricity,Makarpura,Air Force Station,Social Media,Medium,Negative
Report: ITI Gorwa is completely submerged. Please resolve asap.,flooding,Gorwa,ITI Gorwa,Social Media,High,Negative
Traffic signal not working at Uma Char Rasta crossroads. Authorities please take note.,traffic,Waghodia Road,Uma Char Rasta,Social Media,Medium,Negative
Street lights not working in Sarabhai Compound.,electricity,Kala Ghoda,Sarabhai Compound,News Headline,Medium,Negative
Please check: Tarsali is completely dark at night. It's been a week.,electricity,Tarsali,Tarsali,WhatsApp,High,Negative
Urgent: Garden maintenance needed in Cow Circle. VMC please help.,other,Akota,Cow Circle,Social Media,Low,Negative
No electricity in Kothi Kacheri for 4 hours. Calling municipal corporation.,electricity,Raopura,Kothi Kacheri,WhatsApp,Medium,Negative
Please check: Vishwamitri river water entering Uma Char Rasta low lying areas.,flooding,Waghodia Road,Uma Char Rasta,Social Media,High,Negative
Yellow water coming from tap in Tarsali.,water,Tarsali,Tarsali,WhatsApp,Medium,Negative
Bike slipped due to oil spill near Circuit House.,accident,Alkapuri,Circuit House,News Headline,High,Negative
Alert: No electricity in Gotri Hospital for 4 hours. Calling municipal corporation.,electricity,Gotri,Gotri Hospital,Social Media,Medium,Negative
Huge traffic jam at Sursagar Lake.,traffic,Nyay Mandir,Sursagar Lake,News Headline,Medium,Negative
Alert: Stray cattle blocking traffic at Muktanand Three Roads.,other,Karelibaug,Muktanand Three Roads,WhatsApp,Medium,Negative
Complaint: Sayajigunj is completely dark at night.,electricity,Sayajigunj,Sayajigunj,Social Media,High,Negative
Barish ka paani GMERS me bhar gaya hai.,flooding,Gotri,GMERS,News Headline,High,Negative
Need a traffic policeman at Bright School junction.,traffic,Karelibaug,Bright School,WhatsApp,Medium,Negative
Heavy traffic congestion in Concorde Building during peak hours.,traffic,Alkapuri,Concorde Building,News Headline,Medium,Negative
Please check: Unseasonal rain in Muktanand Three Roads. Authorities please take note.,weather,Karelibaug,Muktanand Three Roads,Social Media,Low,Neutral
Heavy rain caused flooding near Dairy Den Circle. Very dangerous situation.,flooding,Sayajigunj,Dairy Den Circle,WhatsApp,High,Negative
Report: Stray animal menace in Sama Savli Road. #Vadodara #VMC,other,Sama,Sama Savli Road,WhatsApp,Medium,Negative
Please check: Heavy traffic congestion in Alkapuri Club during peak hours. Please resolve asap.,traffic,Alkapuri,Alkapuri Club,WhatsApp,Medium,Negative
Complaint: Blinkering street lights at Alkapuri Club crossroad. It's been a week.,electricity,Alkapuri,Alkapuri Club,Social Media,Medium,Negative
Report: Blinkering street lights at Sursagar Lake crossroad. #Vadodara #VMC,electricity,Nyay Mandir,Sursagar Lake,WhatsApp,Medium,Negative
Help needed: Wrong side driving is rampant in Gorwa BIDC. VMC please help.,traffic,Gorwa,Gorwa BIDC,Social Media,Medium,Negative
Urgent: Traffic signal not working at Parivar Char Rasta crossroads. Please resolve asap.,traffic,Waghodia Road,Parivar Char Rasta,Social Media,High,Negative
Help needed: Strong winds blowing in Sarabhai Compound. #Vadodara #VMC,weather,Kala Ghoda,Sarabhai Compound,WhatsApp,Low,Neutral
Help needed: Water logging issue at Chemical Zone. Calling municipal corporation.,flooding,Nandesari,Chemical Zone,Social Media,High,Negative
Action required: Drainage overflow causing water to unexpected levels in Nyay Mandir. Very dangerous situation.,flooding,Nyay Mandir,Nyay Mandir,WhatsApp,High,Negative
Report: Dead animal near Susen Tarsali Ring Road needs removal. Please resolve asap.,garbage,Makarpura,Susen Tarsali Ring Road,Social Media,High,Negative
Electric pole looking dangerous in Akota Stadium.,electricity,Akota,Akota Stadium,News Headline,High,Negative
Urgent: Contaminated water supply in Mandvi. #Vadodara #VMC,water,Mandvi,Mandvi,WhatsApp,High,Negative
Yellow water coming from tap in Air Force Station.,water,Makarpura,Air Force Station,News Headline,Medium,Negative
Alert: Street lights not working in Sama Savli Road. Authorities please take note.,electricity,Sama,Sama Savli Road,Social Media,Medium,Negative
Urgent: Garden maintenance needed in Motnath Mahadev. It is very annoying.,other,Harni,Motnath Mahadev,Social Media,Low,Negative
Cars parked illegally on Sayajigunj road causing jam.,traffic,Sayajigunj,Sayajigunj,Official App,Medium,Negative
Loudspeaker noise disturbing residents in Novino Battery.,other,Makarpura,Novino Battery,Official App,Low,Negative
Complaint: Cows sitting in the middle of ONGC Main Gate road. It's been a week.,other,Tarsali,ONGC Main Gate,WhatsApp,Medium,Negative
Loudspeaker noise disturbing residents in Air Force Station.,other,Makarpura,Air Force Station,Official App,Low,Negative
Complaint: Thunderstorm expected in ONGC Main Gate.,weather,Tarsali,ONGC Main Gate,Social Media,Low,Neutral
Complaint: Frequent power cuts in Eva Mall since yesterday. Very dangerous situation.,electricity,Manjalpur,Eva Mall,Social Media,High,Negative
Bahut traffic hai Harni Airport par. Calling municipal corporation.,traffic,Harni,Harni Airport,Social Media,Medium,Negative
Please check: Ganda paani aa raha hai Dandia Bazar me. It's been a week.,water,Raopura,Dandia Bazar,WhatsApp,Medium,Negative
Please check: Accident prone zone near Windsor Plaza school needs speed breaker. Calling municipal corporation.,accident,Alkapuri,Windsor Plaza,WhatsApp,High,Negative
Please check: Drinking water smells bad in Samta. Authorities please take note.,water,Subhanpura,Samta,Social Media,Medium,Negative
Unseasonal rain in Akota Bridge.,weather,Akota,Akota Bridge,Official App,Low,Neutral
Foul smell coming from garbage dump in Circuit House.,garbage,Alkapuri,Circuit House,Official App,Medium,Negative
Cows sitting in the middle of Rajmahal Road road.,other,Nyay Mandir,Rajmahal Road,News Headline,Medium,Negative
Report: Kachra pada hai Sayajipura road pe. Please resolve asap.,garbage,Ajwa Road,Sayajipura,Social Media,Medium,Negative
Please check: Garbage not collected in Circuit House for 3 days. Please resolve asap.,garbage,Alkapuri,Circuit House,WhatsApp,Medium,Negative
"Heatwave alert for Raopura, stay indoors.",weather,Raopura,Raopura,Official App,Medium,Negative
Help needed: Foul smell coming from garbage dump in Chemical Zone.,garbage,Nandesari,Chemical Zone,Social Media,Medium,Negative
Yellow water coming from tap in Jubilee Baug. Authorities please take note.,water,Raopura,Jubilee Baug,WhatsApp,Medium,Negative
Urgent: Pedestrian hit by a speeding car in Motnath Mahadev. Calling municipal corporation.,accident,Harni,Motnath Mahadev,WhatsApp,High,Negative
Unknown person loitering suspiciously in Kadak Bazar.,other,Sayajigunj,Kadak Bazar,News Headline,Low,Negative
No water supply in Akota Bridge since morning.,water,Akota,Akota Bridge,News Headline,High,Negative
Please check: Dustbins are overflowing at Vasna Road. Please resolve asap.,garbage,Vasna Road,Vasna Road,WhatsApp,High,Negative
Complaint: Bahut traffic hai Rajmahal Road par.,traffic,Nyay Mandir,Rajmahal Road,WhatsApp,Medium,Negative
Complaint: Huge traffic jam at Harni Warasia Ring Road.,traffic,Harni,Harni Warasia Ring Road,Social Media,Medium,Negative
Garbage not collected in Vrindavan Char Rasta for 3 days.,garbage,Waghodia Road,Vrindavan Char Rasta,Official App,Medium,Negative
Complaint: Yellow water coming from tap in Sama. Please resolve asap.,water,Sama,Sama,Social Media,Medium,Negative
Report: Voltage fluctuation damaged appliances in D-Mart Waghodia. VMC please help.,electricity,Waghodia Road,D-Mart Waghodia,WhatsApp,Medium,Negative
Action required: Vishwamitri river water entering Sursagar Lake low lying areas. #Vadodara #VMC,flooding,Nyay Mandir,Sursagar Lake,WhatsApp,High,Negative
"Car collision at Iskcon Temple, ambulance needed.",accident,Gotri,Iskcon Temple,News Headline,High,Negative
Urgent: Kachra pada hai Muktanand Three Roads road pe. #Vadodara #VMC,garbage,Karelibaug,Muktanand Three Roads,WhatsApp,High,Negative
Thunderstorm expected in Bahucharaji Road.,weather,Karelibaug,Bahucharaji Road,Official App,Low,Neutral
Help needed: Voltage fluctuation damaged appliances in Waghodia Road. Calling municipal corporation.,electricity,Waghodia Road,Waghodia Road,WhatsApp,Medium,Negative
Help needed: Drainage overflow causing water to unexpected levels in Gorwa. It is very annoying.,flooding,Gorwa,Gorwa,Social Media,High,Negative
Huge traffic jam at Rajmahal Road.,traffic,Nyay Mandir,Rajmahal Road,Official App,Medium,Negative
Low pressure water in Susen Circle.,water,Tarsali,Susen Circle,Official App,Medium,Negative
Thunderstorm expected in Raopura Tower.,weather,Raopura,Raopura Tower,Official App,Low,Neutral
Action required: Kachra pada hai Jubilee Baug road pe. It is very annoying.,garbage,Raopura,Jubilee Baug,Social Media,Medium,Negative
