text,category,location,source,urgency,sentiment
Unfinished road work in Manjalpur causing dust.,Roads,Manjalpur,Official App,Medium,Negative
Help needed: No water supply in Nyay Mandir since morning. It's been a week.,Water Supply,Nyay Mandir,Social Media,High,Negative
Action required: Eyes burning due to smoke in Gorwa. Very dangerous situation.,Pollution,Gorwa,Social Media,High,Negative
"Andhera hai Manjalpur me, lights fix karo.",Street Lights,Manjalpur,Official App,Medium,Negative
Report: No water supply in Sayajigunj since morning. Very dangerous situation.,Water Supply,Sayajigunj,WhatsApp,High,Negative
Report: Unfinished road work in Mandvi causing dust. Calling municipal corporation.,Roads,Mandvi,WhatsApp,Medium,Negative
Ganda paani aa raha hai Gorwa me.,Water Supply,Gorwa,Official App,High,Negative
Urgent: Kala Ghoda is completely dark at night. It is very annoying.,Street Lights,Kala Ghoda,Social Media,High,Negative
Report: Resurfacing needed for Alkapuri street. Please resolve asap.,Roads,Alkapuri,Social Media,Medium,Negative
Action required: Stray animal menace in Ajwa Road. Calling municipal corporation.,Stray Animals,Ajwa Road,Social Media,Medium,Negative
Complaint: Stray animal menace in Mandvi. Calling municipal corporation.,Stray Animals,Mandvi,WhatsApp,Medium,Negative
Contaminated water supply in Fatehgunj. Calling municipal corporation.,Water Supply,Fatehgunj,Social Media,High,Negative
"Andhera hai Waghodia Road me, lights fix karo. It is very annoying.",Street Lights,Waghodia Road,Social Media,Medium,Negative
Help needed: Tarsali me bahut chemical ki badboo aa rahi hai. Calling municipal corporation.,Pollution,Tarsali,WhatsApp,High,Negative
Please check: Dead animal near Gorwa needs removal. It's been a week.,Sanitation,Gorwa,Social Media,Medium,Negative
Alert: Too many stray dogs in Alkapuri attacking people. Please resolve asap.,Stray Animals,Alkapuri,WhatsApp,Medium,Negative
Waterlogging near Nyay Mandir is causing huge traffic jams.,Waterlogging,Nyay Mandir,Official App,High,Negative
Urgent: Garbage not collected in Nandesari for 3 days. #Vadodara #VMC,Sanitation,Nandesari,Social Media,High,Negative
Complaint: Akota is completely submerged. Calling municipal corporation.,Waterlogging,Akota,Social Media,High,Negative
Mandvi is completely submerged.,Waterlogging,Mandvi,News Headline,High,Negative
Urgent: Water logging issue at Waghodia Road circle. Authorities please take note.,Waterlogging,Waghodia Road,Social Media,High,Negative
Street lights not working in Tarsali. It is very annoying.,Street Lights,Tarsali,WhatsApp,Medium,Negative
"Andhera hai Sayajigunj me, lights fix karo.",Street Lights,Sayajigunj,Official App,Medium,Negative
Urgent: Very unhygienic conditions in Gorwa vegetable market. It is very annoying.,Sanitation,Gorwa,Social Media,High,Negative
"Andhera hai Gotri me, lights fix karo.",Street Lights,Gotri,News Headline,Medium,Negative
Cows sitting in the middle of Raopura road. Please resolve asap.,Stray Animals,Raopura,WhatsApp,Medium,Negative
Dead animal near Harni needs removal.,Sanitation,Harni,Official App,Medium,Negative
Report: Gorwa is completely submerged. Very dangerous situation.,Waterlogging,Gorwa,Social Media,High,Negative
Cleaning not done in Akota society.,Sanitation,Akota,Official App,Medium,Negative
"Report: Knee deep water in Akota, please help. Very dangerous situation.",Waterlogging,Akota,Social Media,High,Negative
Complaint: Gadde hi gadde hai Ajwa Road ke road par.,Roads,Ajwa Road,Social Media,Medium,Negative
Complaint: Factory releasing black smoke near Sama. Please resolve asap.,Pollution,Sama,Social Media,High,Negative
Water is not draining in Ajwa Road.,Waterlogging,Ajwa Road,Official App,High,Negative
No water supply in Kala Ghoda since morning.,Water Supply,Kala Ghoda,Official App,High,Negative
Urgent: Yellow water coming from tap in Nandesari. It's been a week.,Water Supply,Nandesari,Social Media,High,Negative
Report: Blinkering street lights at Waghodia Road crossroad. Please resolve asap.,Street Lights,Waghodia Road,Social Media,Medium,Negative
Report: Street lights not working in Mandvi. Authorities please take note.,Street Lights,Mandvi,Social Media,Medium,Negative
Action required: Low pressure water in Raopura. Please resolve asap.,Water Supply,Raopura,WhatsApp,High,Negative
Air quality is very bad in Kala Ghoda.,Pollution,Kala Ghoda,Official App,High,Negative
Vishwamitri river water entering Harni low lying areas.,Waterlogging,Harni,Official App,High,Negative
Action required: Ajwa Road is completely dark at night. Very dangerous situation.,Street Lights,Ajwa Road,Social Media,Medium,Negative
Urgent: Low pressure water in Makarpura.,Water Supply,Makarpura,Social Media,High,Negative
Action required: Cows sitting in the middle of Gorwa road. Please resolve asap.,Stray Animals,Gorwa,Social Media,Medium,Negative
Terrible chemical smell in Raopura at night.,Pollution,Raopura,Official App,High,Negative
Too many stray dogs in Harni attacking people.,Stray Animals,Harni,Official App,Medium,Negative
Waterlogging near Ajwa Road is causing huge traffic jams. Please resolve asap.,Waterlogging,Ajwa Road,Social Media,High,Negative
Yellow water coming from tap in Ajwa Road. It is very annoying.,Water Supply,Ajwa Road,Social Media,High,Negative
Report: Dustbins are overflowing at Nyay Mandir. Authorities please take note.,Sanitation,Nyay Mandir,Social Media,Medium,Negative
Urgent: Vasna Road is completely dark at night. Calling municipal corporation.,Street Lights,Vasna Road,Social Media,High,Negative
Too many stray dogs in Sayajigunj attacking people.,Stray Animals,Sayajigunj,News Headline,Medium,Negative
Complaint: Dead animal near Mandvi needs removal. Calling municipal corporation.,Sanitation,Mandvi,WhatsApp,Medium,Negative
Urgent: Ganda paani aa raha hai Harni me. Calling municipal corporation.,Water Supply,Harni,Social Media,High,Negative
Help needed: Contaminated water supply in Mandvi. Very dangerous situation.,Water Supply,Mandvi,Social Media,High,Negative
Help needed: Bad road condition near Waghodia Road school. #Vadodara #VMC,Roads,Waghodia Road,Social Media,Medium,Negative
Factory releasing black smoke near Karelibaug.,Pollution,Karelibaug,News Headline,High,Negative
Action required: Yellow water coming from tap in Waghodia Road. Please resolve asap.,Water Supply,Waghodia Road,Social Media,High,Negative
"Urgent: Andhera hai Gorwa me, lights fix karo. Authorities please take note.",Street Lights,Gorwa,Social Media,High,Negative
Suffocating smell near Nandesari GIDC.,Pollution,Nandesari,News Headline,High,Negative
Help needed: Garbage not collected in Vasna Road for 3 days. Please resolve asap.,Sanitation,Vasna Road,WhatsApp,Medium,Negative
Action required: Dust pollution is unbearable in Alkapuri.,Pollution,Alkapuri,Social Media,High,Negative
"Complaint: Knee deep water in Nyay Mandir, please help.",Waterlogging,Nyay Mandir,Social Media,High,Negative
Complaint: Yellow water coming from tap in Gorwa. Very dangerous situation.,Water Supply,Gorwa,Social Media,High,Negative
Alert: Stray cattle blocking traffic at Gotri. It's been a week.,Stray Animals,Gotri,WhatsApp,Medium,Negative
Yellow water coming from tap in Makarpura.,Water Supply,Makarpura,News Headline,High,Negative
Complaint: Eyes burning due to smoke in Akota. VMC please help.,Pollution,Akota,WhatsApp,High,Negative
foul smell coming from garbage dump in Harni. Calling municipal corporation.,Sanitation,Harni,Social Media,Medium,Negative
Suffocating smell near Harni GIDC.,Pollution,Harni,News Headline,High,Negative
Complaint: Kachra pada hai Gotri main road pe. Authorities please take note.,Sanitation,Gotri,Social Media,Medium,Negative
Please check: Drainage overflow causing water to unexpected levels in Makarpura. Calling municipal corporation.,Waterlogging,Makarpura,Social Media,High,Negative
Alert: Very unhygienic conditions in Akota vegetable market. VMC please help.,Sanitation,Akota,WhatsApp,Medium,Negative
Please check: Stray cattle blocking traffic at Manjalpur. It is very annoying.,Stray Animals,Manjalpur,WhatsApp,Medium,Negative
"Andhera hai Vasna Road me, lights fix karo.",Street Lights,Vasna Road,Official App,Medium,Negative
Please check: Too many stray dogs in Vasna Road attacking people. Calling municipal corporation.,Stray Animals,Vasna Road,WhatsApp,Medium,Negative
Stray animal menace in Nandesari. It's been a week.,Stray Animals,Nandesari,Social Media,Medium,Negative
Report: Contaminated water supply in Fatehgunj. Very dangerous situation.,Water Supply,Fatehgunj,WhatsApp,High,Negative
Please check: Garbage not collected in Gorwa for 3 days. Please resolve asap.,Sanitation,Gorwa,WhatsApp,Medium,Negative
Eyes burning due to smoke in Gorwa.,Pollution,Gorwa,Official App,High,Negative
Action required: Eyes burning due to smoke in Kala Ghoda. Very dangerous situation.,Pollution,Kala Ghoda,Social Media,High,Negative
Action required: Huge potholes in Nyay Mandir main road. #Vadodara #VMC,Roads,Nyay Mandir,WhatsApp,Medium,Negative
Road surface is damaged at Waghodia Road.,Roads,Waghodia Road,News Headline,Medium,Negative
Alert: Suffocating smell near Mandvi GIDC. #Vadodara #VMC,Pollution,Mandvi,WhatsApp,High,Negative
Raopura is completely dark at night.,Street Lights,Raopura,News Headline,Medium,Negative
No water supply in Sama since morning.,Water Supply,Sama,Official App,High,Negative
Action required: Nyay Mandir is completely dark at night. Please resolve asap.,Street Lights,Nyay Mandir,Social Media,Medium,Negative
Nandesari is completely dark at night.,Street Lights,Nandesari,Official App,Medium,Negative
Alert: No water supply in Kala Ghoda since morning. VMC please help.,Water Supply,Kala Ghoda,Social Media,High,Negative
Drainage overflow causing water to unexpected levels in Harni.,Waterlogging,Harni,News Headline,High,Negative
Help needed: Street lights not working in Vasna Road. #Vadodara #VMC,Street Lights,Vasna Road,Social Media,Medium,Negative
Please check: Resurfacing needed for Sama street. Please resolve asap.,Roads,Sama,Social Media,Medium,Negative
Action required: Akota is completely dark at night. VMC please help.,Street Lights,Akota,Social Media,Medium,Negative
Stray animal menace in Karelibaug.,Stray Animals,Karelibaug,News Headline,Medium,Negative
Blinkering street lights at Mandvi crossroad.,Street Lights,Mandvi,News Headline,Medium,Negative
"Urgent: Andhera hai Tarsali me, lights fix karo.",Street Lights,Tarsali,Social Media,High,Negative
"Report: Ajwa Road road is full of potholes, very dangerous for bikers. Very dangerous situation.",Roads,Ajwa Road,Social Media,Medium,Negative
Please check: Air quality is very bad in Karelibaug. #Vadodara #VMC,Pollution,Karelibaug,Social Media,High,Negative
Bad road condition near Fatehgunj school.,Roads,Fatehgunj,News Headline,Medium,Negative
Complaint: Road surface is damaged at Nyay Mandir. It's been a week.,Roads,Nyay Mandir,WhatsApp,Medium,Negative
Help needed: Dust pollution is unbearable in Waghodia Road. It is very annoying.,Pollution,Waghodia Road,Social Media,High,Negative
Street lights not working in Gotri.,Street Lights,Gotri,Official App,Medium,Negative
"Complaint: Andhera hai Gorwa me, lights fix karo. #Vadodara #VMC",Street Lights,Gorwa,Social Media,Medium,Negative
Street lights not working in Karelibaug.,Street Lights,Karelibaug,Official App,Medium,Negative
"Mandvi road is full of potholes, very dangerous for bikers.",Roads,Mandvi,Official App,Medium,Negative
"Help needed: Knee deep water in Waghodia Road, please help.",Waterlogging,Waghodia Road,Social Media,High,Negative
"Complaint: Knee deep water in Nandesari, please help.",Waterlogging,Nandesari,WhatsApp,High,Negative
Dust pollution is unbearable in Kala Ghoda.,Pollution,Kala Ghoda,Official App,High,Negative
Unfinished road work in Kala Ghoda causing dust.,Roads,Kala Ghoda,News Headline,Medium,Negative
Unfinished road work in Sama causing dust.,Roads,Sama,News Headline,Medium,Negative
Complaint: Garbage not collected in Ajwa Road for 3 days.,Sanitation,Ajwa Road,Social Media,Medium,Negative
Dust pollution is unbearable in Sama.,Pollution,Sama,Official App,High,Negative
Cleaning not done in Makarpura society. It is very annoying.,Sanitation,Makarpura,Social Media,Medium,Negative
Urgent: Street lights not working in Akota. It's been a week.,Street Lights,Akota,Social Media,High,Negative
Nyay Mandir me bahut chemical ki badboo aa rahi hai.,Pollution,Nyay Mandir,Official App,High,Negative
Very unhygienic conditions in Tarsali vegetable market. Calling municipal corporation.,Sanitation,Tarsali,WhatsApp,Medium,Negative
Complaint: Gotri is completely submerged. Please resolve asap.,Waterlogging,Gotri,Social Media,High,Negative
Garbage not collected in Manjalpur for 3 days.,Sanitation,Manjalpur,Official App,Medium,Negative
Action required: Very unhygienic conditions in Subhanpura vegetable market. #Vadodara #VMC,Sanitation,Subhanpura,WhatsApp,Medium,Negative
Please check: Gadde hi gadde hai Gotri ke road par. Authorities please take note.,Roads,Gotri,WhatsApp,Medium,Negative
Complaint: Barish ka paani Kala Ghoda me bhar gaya hai. Very dangerous situation.,Waterlogging,Kala Ghoda,WhatsApp,High,Negative
Help needed: Blinkering street lights at Gorwa crossroad. Please resolve asap.,Street Lights,Gorwa,Social Media,Medium,Negative
Dead animal near Waghodia Road needs removal.,Sanitation,Waghodia Road,Official App,Medium,Negative
Contaminated water supply in Vasna Road.,Water Supply,Vasna Road,Official App,High,Negative
Cows sitting in the middle of Gotri road. It is very annoying.,Stray Animals,Gotri,Social Media,Medium,Negative
Vasna Road is completely dark at night.,Street Lights,Vasna Road,Official App,Medium,Negative
Urgent: Contaminated water supply in Alkapuri. Calling municipal corporation.,Water Supply,Alkapuri,WhatsApp,High,Negative
Urgent: Dustbins are overflowing at Harni. VMC please help.,Sanitation,Harni,Social Media,High,Negative
Urgent: Low pressure water in Mandvi. Very dangerous situation.,Water Supply,Mandvi,Social Media,High,Negative
Factory releasing black smoke near Harni.,Pollution,Harni,Official App,High,Negative
Urgent: Blinkering street lights at Sayajigunj crossroad. VMC please help.,Street Lights,Sayajigunj,WhatsApp,High,Negative
Air quality is very bad in Nyay Mandir.,Pollution,Nyay Mandir,Official App,High,Negative
Action required: Air quality is very bad in Nyay Mandir. Authorities please take note.,Pollution,Nyay Mandir,Social Media,High,Negative
Please check: Karelibaug me bahut chemical ki badboo aa rahi hai. Please resolve asap.,Pollution,Karelibaug,Social Media,High,Negative
Dustbins are overflowing at Gotri.,Sanitation,Gotri,Official App,Medium,Negative
Nandesari is completely submerged.,Waterlogging,Nandesari,Official App,High,Negative
Unfinished road work in Manjalpur causing dust.,Roads,Manjalpur,News Headline,Medium,Negative
Action required: Kachra pada hai Mandvi main road pe. It is very annoying.,Sanitation,Mandvi,Social Media,Medium,Negative
Complaint: Nyay Mandir is completely dark at night. Very dangerous situation.,Street Lights,Nyay Mandir,WhatsApp,Medium,Negative
Alert: Gadde hi gadde hai Sama ke road par. #Vadodara #VMC,Roads,Sama,WhatsApp,Medium,Negative
"Please check: Knee deep water in Fatehgunj, please help. Please resolve asap.",Waterlogging,Fatehgunj,Social Media,High,Negative
Report: Too many stray dogs in Kala Ghoda attacking people. Calling municipal corporation.,Stray Animals,Kala Ghoda,WhatsApp,Medium,Negative
Contaminated water supply in Kala Ghoda.,Water Supply,Kala Ghoda,Official App,High,Negative
"Andhera hai Subhanpura me, lights fix karo. It's been a week.",Street Lights,Subhanpura,Social Media,Medium,Negative
Please check: Huge potholes in Alkapuri main road. #Vadodara #VMC,Roads,Alkapuri,Social Media,Medium,Negative
"Please check: Andhera hai Fatehgunj me, lights fix karo. Calling municipal corporation.",Street Lights,Fatehgunj,WhatsApp,Medium,Negative
Please check: Gadde hi gadde hai Kala Ghoda ke road par. #Vadodara #VMC,Roads,Kala Ghoda,Social Media,Medium,Negative
Report: Road surface is damaged at Waghodia Road. Very dangerous situation.,Roads,Waghodia Road,WhatsApp,Medium,Negative
Please check: Suffocating smell near Vasna Road GIDC. Very dangerous situation.,Pollution,Vasna Road,WhatsApp,High,Negative
Alert: Barish ka paani Sayajigunj me bhar gaya hai.,Waterlogging,Sayajigunj,Social Media,High,Negative
Cleaning not done in Nyay Mandir society.,Sanitation,Nyay Mandir,Official App,Medium,Negative
Urgent: Resurfacing needed for Vasna Road street. It is very annoying.,Roads,Vasna Road,Social Media,High,Negative
Sayajigunj me bahut chemical ki badboo aa rahi hai.,Pollution,Sayajigunj,News Headline,High,Negative
Alert: Cleaning not done in Karelibaug society. Calling municipal corporation.,Sanitation,Karelibaug,Social Media,Medium,Negative
Low pressure water in Vasna Road.,Water Supply,Vasna Road,Official App,High,Negative
Blinkering street lights at Nyay Mandir crossroad. It's been a week.,Street Lights,Nyay Mandir,WhatsApp,Medium,Negative
Alert: Bad road condition near Raopura school. It's been a week.,Roads,Raopura,Social Media,Medium,Negative
"Knee deep water in Gorwa, please help.",Waterlogging,Gorwa,Official App,High,Negative
Terrible chemical smell in Fatehgunj at night.,Pollution,Fatehgunj,Official App,High,Negative
Urgent: Barish ka paani Nyay Mandir me bhar gaya hai. VMC please help.,Waterlogging,Nyay Mandir,WhatsApp,High,Negative
Mandvi is completely submerged.,Waterlogging,Mandvi,News Headline,High,Negative
Alert: Gadde hi gadde hai Akota ke road par. Please resolve asap.,Roads,Akota,WhatsApp,Medium,Negative
Alert: Heavy rain caused flooding near Manjalpur. VMC please help.,Waterlogging,Manjalpur,Social Media,High,Negative
Dust pollution is unbearable in Karelibaug.,Pollution,Karelibaug,News Headline,High,Negative
Complaint: Stray cattle blocking traffic at Waghodia Road. VMC please help.,Stray Animals,Waghodia Road,Social Media,Medium,Negative
Cows sitting in the middle of Kala Ghoda road.,Stray Animals,Kala Ghoda,Official App,Medium,Negative
Complaint: Contaminated water supply in Gorwa. VMC please help.,Water Supply,Gorwa,Social Media,High,Negative
Cows sitting in the middle of Alkapuri road.,Stray Animals,Alkapuri,News Headline,Medium,Negative
Please check: Gadde hi gadde hai Ajwa Road ke road par. #Vadodara #VMC,Roads,Ajwa Road,WhatsApp,Medium,Negative
Very unhygienic conditions in Gorwa vegetable market.,Sanitation,Gorwa,News Headline,Medium,Negative
Urgent: Suffocating smell near Nyay Mandir GIDC. Very dangerous situation.,Pollution,Nyay Mandir,WhatsApp,High,Negative
Alert: Gadde hi gadde hai Tarsali ke road par. VMC please help.,Roads,Tarsali,Social Media,Medium,Negative
Alert: Cleaning not done in Ajwa Road society. It's been a week.,Sanitation,Ajwa Road,Social Media,Medium,Negative
Alert: Road surface is damaged at Waghodia Road. VMC please help.,Roads,Waghodia Road,Social Media,Medium,Negative
Alert: Heavy rain caused flooding near Sama. It's been a week.,Waterlogging,Sama,Social Media,High,Negative
Please check: Very unhygienic conditions in Fatehgunj vegetable market. VMC please help.,Sanitation,Fatehgunj,Social Media,Medium,Negative
Complaint: Too many stray dogs in Makarpura attacking people. #Vadodara #VMC,Stray Animals,Makarpura,Social Media,Medium,Negative
Report: Garbage not collected in Makarpura for 3 days. Authorities please take note.,Sanitation,Makarpura,Social Media,Medium,Negative
Vishwamitri river water entering Gotri low lying areas.,Waterlogging,Gotri,Official App,High,Negative
Complaint: Bad road condition near Ajwa Road school.,Roads,Ajwa Road,Social Media,Medium,Negative
Gadde hi gadde hai Ajwa Road ke road par.,Roads,Ajwa Road,Official App,Medium,Negative
Barish ka paani Harni me bhar gaya hai.,Waterlogging,Harni,Official App,High,Negative
Urgent: Cleaning not done in Gorwa society. #Vadodara #VMC,Sanitation,Gorwa,Social Media,High,Negative
Please check: Gadde hi gadde hai Mandvi ke road par. Authorities please take note.,Roads,Mandvi,Social Media,Medium,Negative
Blinkering street lights at Nandesari crossroad. VMC please help.,Street Lights,Nandesari,Social Media,Medium,Negative
Alert: Stray cattle blocking traffic at Sama. Very dangerous situation.,Stray Animals,Sama,WhatsApp,Medium,Negative
Help needed: Too many stray dogs in Fatehgunj attacking people. Please resolve asap.,Stray Animals,Fatehgunj,WhatsApp,Medium,Negative
Cows sitting in the middle of Sama road.,Stray Animals,Sama,Official App,Medium,Negative
Help needed: Air quality is very bad in Gorwa. VMC please help.,Pollution,Gorwa,Social Media,High,Negative
Report: Ganda paani aa raha hai Fatehgunj me. Authorities please take note.,Water Supply,Fatehgunj,WhatsApp,High,Negative
Action required: Waterlogging near Sayajigunj is causing huge traffic jams. Please resolve asap.,Waterlogging,Sayajigunj,Social Media,High,Negative
Blinkering street lights at Kala Ghoda crossroad.,Street Lights,Kala Ghoda,Official App,Medium,Negative
Nandesari is completely submerged.,Waterlogging,Nandesari,Official App,High,Negative
Help needed: Low pressure water in Mandvi. It is very annoying.,Water Supply,Mandvi,Social Media,High,Negative
Terrible chemical smell in Makarpura at night.,Pollution,Makarpura,Official App,High,Negative
Complaint: Gadde hi gadde hai Subhanpura ke road par. VMC please help.,Roads,Subhanpura,WhatsApp,Medium,Negative
Dead animal near Kala Ghoda needs removal.,Sanitation,Kala Ghoda,News Headline,Medium,Negative
Unfinished road work in Ajwa Road causing dust. VMC please help.,Roads,Ajwa Road,Social Media,Medium,Negative
Alert: Road surface is damaged at Karelibaug.,Roads,Karelibaug,Social Media,Medium,Negative
Subhanpura is completely dark at night.,Street Lights,Subhanpura,Official App,Medium,Negative
Report: Garbage not collected in Makarpura for 3 days. Authorities please take note.,Sanitation,Makarpura,Social Media,Medium,Negative
Report: Cows sitting in the middle of Mandvi road.,Stray Animals,Mandvi,WhatsApp,Medium,Negative
Low pressure water in Waghodia Road.,Water Supply,Waghodia Road,News Headline,High,Negative
Complaint: Resurfacing needed for Kala Ghoda street. It is very annoying.,Roads,Kala Ghoda,WhatsApp,Medium,Negative
No water supply in Ajwa Road since morning.,Water Supply,Ajwa Road,Official App,High,Negative
Action required: Fatehgunj is completely dark at night. It's been a week.,Street Lights,Fatehgunj,Social Media,Medium,Negative
Action required: Eyes burning due to smoke in Nandesari. VMC please help.,Pollution,Nandesari,Social Media,High,Negative
Action required: Eyes burning due to smoke in Nandesari. It's been a week.,Pollution,Nandesari,Social Media,High,Negative
Dustbins are overflowing at Waghodia Road. Very dangerous situation.,Sanitation,Waghodia Road,WhatsApp,Medium,Negative
Complaint: Very unhygienic conditions in Akota vegetable market. It is very annoying.,Sanitation,Akota,WhatsApp,Medium,Negative
Complaint: Garbage not collected in Karelibaug for 3 days. Very dangerous situation.,Sanitation,Karelibaug,Social Media,Medium,Negative
Yellow water coming from tap in Nandesari.,Water Supply,Nandesari,Official App,High,Negative
Dust pollution is unbearable in Gorwa.,Pollution,Gorwa,News Headline,High,Negative
Air quality is very bad in Karelibaug.,Pollution,Karelibaug,Official App,High,Negative
Alert: Cows sitting in the middle of Nyay Mandir road. Authorities please take note.,Stray Animals,Nyay Mandir,WhatsApp,Medium,Negative
Urgent: Very unhygienic conditions in Subhanpura vegetable market. VMC please help.,Sanitation,Subhanpura,Social Media,High,Negative
Urgent: Garbage not collected in Manjalpur for 3 days. VMC please help.,Sanitation,Manjalpur,WhatsApp,High,Negative
Please check: Suffocating smell near Kala Ghoda GIDC. It is very annoying.,Pollution,Kala Ghoda,WhatsApp,High,Negative
Eyes burning due to smoke in Fatehgunj.,Pollution,Fatehgunj,News Headline,High,Negative
Report: Bad road condition near Karelibaug school.,Roads,Karelibaug,Social Media,Medium,Negative
Gadde hi gadde hai Sama ke road par.,Roads,Sama,WhatsApp,Medium,Negative
"Knee deep water in Akota, please help.",Waterlogging,Akota,News Headline,High,Negative
Eyes burning due to smoke in Harni.,Pollution,Harni,Official App,High,Negative
Report: Contaminated water supply in Sama. Very dangerous situation.,Water Supply,Sama,Social Media,High,Negative
Stray animal menace in Nyay Mandir. Calling municipal corporation.,Stray Animals,Nyay Mandir,Social Media,Medium,Negative
Report: Bad road condition near Sama school. Calling municipal corporation.,Roads,Sama,Social Media,Medium,Negative
Please check: Stray animal menace in Raopura. Calling municipal corporation.,Stray Animals,Raopura,WhatsApp,Medium,Negative
Urgent: Huge potholes in Ajwa Road main road. It is very annoying.,Roads,Ajwa Road,Social Media,High,Negative
Yellow water coming from tap in Fatehgunj.,Water Supply,Fatehgunj,Official App,High,Negative
Ganda paani aa raha hai Alkapuri me. It's been a week.,Water Supply,Alkapuri,Social Media,High,Negative
Alert: Bad road condition near Raopura school. Authorities please take note.,Roads,Raopura,Social Media,Medium,Negative
Alert: Dustbins are overflowing at Karelibaug. It is very annoying.,Sanitation,Karelibaug,WhatsApp,Medium,Negative
Cleaning not done in Mandvi society.,Sanitation,Mandvi,Official App,Medium,Negative
Report: Street lights not working in Akota. It's been a week.,Street Lights,Akota,WhatsApp,Medium,Negative
Please check: Too many stray dogs in Waghodia Road attacking people. Authorities please take note.,Stray Animals,Waghodia Road,Social Media,Medium,Negative
Dust pollution is unbearable in Raopura.,Pollution,Raopura,Official App,High,Negative
Blinkering street lights at Waghodia Road crossroad.,Street Lights,Waghodia Road,Official App,Medium,Negative
Report: No water supply in Subhanpura since morning. VMC please help.,Water Supply,Subhanpura,WhatsApp,High,Negative
Urgent: Ganda paani aa raha hai Nyay Mandir me. #Vadodara #VMC,Water Supply,Nyay Mandir,WhatsApp,High,Negative
Please check: Stray animal menace in Waghodia Road. Calling municipal corporation.,Stray Animals,Waghodia Road,Social Media,Medium,Negative
Dust pollution is unbearable in Raopura.,Pollution,Raopura,Official App,High,Negative
Report:  foul smell coming from garbage dump in Vasna Road. VMC please help.,Sanitation,Vasna Road,Social Media,Medium,Negative
Suffocating smell near Sama GIDC. #Vadodara #VMC,Pollution,Sama,WhatsApp,High,Negative
Report: Gadde hi gadde hai Gotri ke road par. Authorities please take note.,Roads,Gotri,WhatsApp,Medium,Negative
Report: Very unhygienic conditions in Nyay Mandir vegetable market. Calling municipal corporation.,Sanitation,Nyay Mandir,Social Media,Medium,Negative
Please check: Stray cattle blocking traffic at Gorwa. Please resolve asap.,Stray Animals,Gorwa,Social Media,Medium,Negative
Alert: Street lights not working in Nyay Mandir. It is very annoying.,Street Lights,Nyay Mandir,WhatsApp,Medium,Negative
Alert: Factory releasing black smoke near Akota. It's been a week.,Pollution,Akota,Social Media,High,Negative
Help needed: Barish ka paani Sayajigunj me bhar gaya hai. It's been a week.,Waterlogging,Sayajigunj,Social Media,High,Negative
Please check: Sama is completely submerged. VMC please help.,Waterlogging,Sama,Social Media,High,Negative
Terrible chemical smell in Tarsali at night.,Pollution,Tarsali,Official App,High,Negative
Alert: Cows sitting in the middle of Alkapuri road. It's been a week.,Stray Animals,Alkapuri,Social Media,Medium,Negative
Action required: Huge potholes in Gorwa main road. #Vadodara #VMC,Roads,Gorwa,Social Media,Medium,Negative
"Alert: Andhera hai Vasna Road me, lights fix karo. Very dangerous situation.",Street Lights,Vasna Road,WhatsApp,Medium,Negative
Alert: Stray animal menace in Waghodia Road. Please resolve asap.,Stray Animals,Waghodia Road,WhatsApp,Medium,Negative
Complaint: Unfinished road work in Makarpura causing dust. It's been a week.,Roads,Makarpura,Social Media,Medium,Negative
Urgent: Vishwamitri river water entering Nyay Mandir low lying areas. It is very annoying.,Waterlogging,Nyay Mandir,Social Media,High,Negative
Please check: Factory releasing black smoke near Gotri. VMC please help.,Pollution,Gotri,WhatsApp,High,Negative
Blinkering street lights at Kala Ghoda crossroad.,Street Lights,Kala Ghoda,Official App,Medium,Negative
Water logging issue at Akota circle.,Waterlogging,Akota,Official App,High,Negative
Gadde hi gadde hai Alkapuri ke road par.,Roads,Alkapuri,Official App,Medium,Negative
Report: Street lights not working in Harni. It's been a week.,Street Lights,Harni,Social Media,Medium,Negative
Ganda paani aa raha hai Mandvi me.,Water Supply,Mandvi,Official App,High,Negative
Complaint: Blinkering street lights at Waghodia Road crossroad. Very dangerous situation.,Street Lights,Waghodia Road,WhatsApp,Medium,Negative
Cows sitting in the middle of Makarpura road.,Stray Animals,Makarpura,News Headline,Medium,Negative
Help needed: Waterlogging near Nyay Mandir is causing huge traffic jams. #Vadodara #VMC,Waterlogging,Nyay Mandir,WhatsApp,High,Negative
Action required: Water logging issue at Gotri circle. Calling municipal corporation.,Waterlogging,Gotri,Social Media,High,Negative
Action required: Street lights not working in Vasna Road. Very dangerous situation.,Street Lights,Vasna Road,Social Media,Medium,Negative
Alert: Contaminated water supply in Raopura. Authorities please take note.,Water Supply,Raopura,Social Media,High,Negative
Too many stray dogs in Waghodia Road attacking people.,Stray Animals,Waghodia Road,Official App,Medium,Negative
Suffocating smell near Raopura GIDC.,Pollution,Raopura,News Headline,High,Negative
Urgent: Stray cattle blocking traffic at Kala Ghoda. Please resolve asap.,Stray Animals,Kala Ghoda,WhatsApp,High,Negative
Water is not draining in Sayajigunj.,Waterlogging,Sayajigunj,Official App,High,Negative
Complaint: Unfinished road work in Vasna Road causing dust. It's been a week.,Roads,Vasna Road,Social Media,Medium,Negative
Complaint: Stray animal menace in Gorwa. VMC please help.,Stray Animals,Gorwa,Social Media,Medium,Negative
